P##cpos=P|mwehead=DET+|pred=y##	Pre:
P##cpos=P|mwehead=NC+|pred=y##	Pre:
P##cpos=P|mwehead=NPP+|pred=y##	Pre:
P##cpos=P|mwehead=P+|pred=y##	Pre:
P##cpos=P|mwehead=P+D+|pred=y##	Pre:
P##cpos=P|mwehead=VPP+|pred=y##	Pre:
P+	Pre:
P+D##cpos=P+D|_##	Pre+Det:
P+D##cpos=P+D|mwehead=ADV+|s=def|pred=y##	Pre+Det:
P+D##cpos=P+D|mwehead=NPP+|s=def|pred=y##	Pre+Det:
P+D##cpos=P+D|mwehead=P+|s=def|pred=y##	Pre+Det:
P+D##cpos=P+D|mwehead=P+D+|s=def|pred=y##	Pre+Det:
P+D##cpos=P+D|s=def##	Pre+Det:
P+D##cpos=P+D|s=def|pred=y##	Pre+Det:
P+D+	Pre+Det:
P+PRO##cpos=P+PRO|g=f|n=p|p=3|s=rel##	Pre+Pro:Fem+PL+Rel
P+PRO##cpos=P+PRO|g=m|n=p|p=3|s=rel##	Pre+Pro:Mas+PL+Rel
P+PRO##cpos=P+PRO|g=m|n=s|p=3|s=rel##	Pre+Pro:Mas+SG+Rel
PONCT##cpos=PONCT|s=s##	Punct:SentIntern
PONCT##cpos=PONCT|s=s|pred=y##	Punct:SentIntern
PONCT##cpos=PONCT|s=w##	Punct:SentFinal
PONCT##cpos=PONCT|s=w|pred=y##	Punct:SentFinal
PP	PP:
PREF##cpos=PREF|_##	Prefix:
PREF##cpos=PREF|mwehead=NC+|pred=y##	Prefix:
PRO##cpos=PRO|_|pred=y##	Pro:
PRO##cpos=PRO|g=f|mwehead=PRO+|n=s|s=dem|pred=y##	Pro:Fem+SG+Dem
PRO##cpos=PRO|g=f|n=p|p=3|s=dem##	Pro:3Fem+PL+Dem
PRO##cpos=PRO|g=f|n=p|p=3|s=ind##	Pro:3Fem+PL+Indef
PRO##cpos=PRO|g=f|n=p|p=3|s=pers##	Pro:3Fem+PL+Pers
PRO##cpos=PRO|g=f|n=p|s=card##	Pro:Fem+PL+Card
PRO##cpos=PRO|g=f|n=s|p=3|s=dem##	Pro:3Fem+SG+Dem
PRO##cpos=PRO|g=f|n=s|p=3|s=ind##	Pro:3Fem+SG+Indef
PRO##cpos=PRO|g=f|n=s|p=3|s=pers##	Pro:3Fem+SG+Pers
PRO##cpos=PRO|g=m|mwehead=PRO+|n=p|s=dem|pred=y##	Pro:Mas+PL+Dem
PRO##cpos=PRO|g=m|mwehead=PRO+|n=s|s=dem|pred=y##	Pro:Mas+SG+Dem
PRO##cpos=PRO|g=m|n=p|p=2|s=pers##	Pro:2Mas+PL:Pers
PRO##cpos=PRO|g=m|n=p|p=3|s=dem##	Pro:3Mas+PL+Dem
PRO##cpos=PRO|g=m|n=p|p=3|s=ind##	Pro:3Mas+PL+Indef
PRO##cpos=PRO|g=m|n=p|p=3|s=pers##	Pro:3Mas+PL+Pers
PRO##cpos=PRO|g=m|n=p|s=card##	Pro:Mas+PL+Card
PRO##cpos=PRO|g=m|n=p|s=ind##	Pro:Mas+PL+Indef
PRO##cpos=PRO|g=m|n=s|p=1|s=pers##	Pro:1Mas+SG+Pers
PRO##cpos=PRO|g=m|n=s|p=3|s=dem##	Pro:3Mas+SG+Dem
PRO##cpos=PRO|g=m|n=s|p=3|s=dem|pred=y##	Pro:3Mas+SG+Dem
PRO##cpos=PRO|g=m|n=s|p=3|s=ind##	Pro:3Mas+SG+Indef
